Date,Entities,ID,Stock Symbol,Tweet,User description,User id,User location,User name,User screen name,User url,place
2019-12-27 20:07:00,"{'hashtags': [{'text': 'Google', 'indices': [0, 7]}, {'text': 'IqbalBano', 'indices': [23, 33]}, {'text': 'ARYNews', 'indices': [48, 56]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Fw8ndZW05z', 'expanded_url': 'https://arynews.tv/en/google-tribute-iqbal-bano/', 'display_url': 'arynews.tv/en/google-trib…', 'indices': [58, 81]}]}",1210653325055553536,"GOOG, GOOGL","#Google pays homage to #IqbalBano with a doodle
#ARYNews

https://t.co/Fw8ndZW05z",ARY News is a Pakistani news channel committed to bring you up-to-the minute news & featured stories from around Pakistan & all over the world.,1430793200,"Karachi,Pakistan",ARY News,ARYNEWSOFFICIAL,https://t.co/Yi7661wvTN,
2019-12-22 17:29:55,"{'hashtags': [{'text': 'GRAMMYs', 'indices': [59, 67]}, {'text': 'Google', 'indices': [88, 95]}], 'symbols': [], 'user_mentions': [{'screen_name': 'JLo', 'name': 'Jennifer Lopez', 'id': 85603854, 'id_str': '85603854', 'indices': [9, 13]}, {'screen_name': 'Versace', 'name': 'VERSACE', 'id': 72568426, 'id_str': '72568426', 'indices': [37, 45]}], 'urls': [{'url': 'https://t.co/fDEmuMYnjD', 'expanded_url': 'https://twitter.com/i/web/status/1208801855184130048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1208801855184130048,"GOOG, GOOGL","In 2000, @JLo wore a plunging, green @Versace dress to the #GRAMMYs that caused so many #Google searches that the c… https://t.co/fDEmuMYnjD","Celebrating music through the #GRAMMYs. Fostering a stronger and more inspiring world for creators through @GRAMMYAdvocacy, @MusiCares, and the @GRAMMYMuseum.",17243213,Santa Monica,Recording Academy / GRAMMYs,RecordingAcad,https://t.co/oEXNMmpAuB,
2019-12-20 07:52:36,"{'hashtags': [{'text': 'Google', 'indices': [26, 33]}], 'symbols': [], 'user_mentions': [{'screen_name': 'arivalayam', 'name': 'DMK', 'id': 275172055, 'id_str': '275172055', 'indices': [59, 70]}], 'urls': [{'url': 'https://t.co/ke6m7da6Ar', 'expanded_url': 'https://twitter.com/i/web/status/1207931792772272129', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1207931792772272129,"GOOG, GOOGL","This is the worst part of #Google , it remembers all about @arivalayam

When you search ""ஓசி .. "" Google lists comp… https://t.co/ke6m7da6Ar",Nirmal Kumar - BJP State President IT & Social Media,2703383215,chennai,CTR.Nirmal kumar,CTR_Nirmalkumar,,
2019-12-20 11:50:00,"{'hashtags': [{'text': 'UPDATE', 'indices': [0, 7]}, {'text': 'Google', 'indices': [49, 56]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ied5expAbM', 'expanded_url': 'https://twitter.com/i/web/status/1207991536023150593', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",1207991536023150593,"GOOG, GOOGL",#UPDATE France's competition authority has fined #Google 150 million euros ($167 million) for abusing its dominant… https://t.co/ied5expAbM,Top news and features from AFP's reporters around the world. Elsewhere on Twitter: https://t.co/4pIm8k2HLC,380648579,France,AFP news agency,AFP,https://t.co/kqhCI1T6KT,
2019-12-24 00:40:00,"{'hashtags': [{'text': 'China', 'indices': [0, 6]}, {'text': 'Huawei', 'indices': [9, 16]}, {'text': 'Google', 'indices': [42, 49]}, {'text': 'India', 'indices': [62, 68]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/VvC5lVETks', 'expanded_url': 'https://on.rt.com/a7st', 'display_url': 'on.rt.com/a7st', 'indices': [84, 107]}], 'media': [{'id': 1209141296050429954, 'id_str': '1209141296050429954', 'indices': [108, 131], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EMe7mjpXYAIpk3S.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EMe7mjpXYAIpk3S.jpg', 'url': 'https://t.co/gR5AZjGSmd', 'display_url': 'pic.twitter.com/gR5AZjGSmd', 'expanded_url': 'https://twitter.com/RT_com/status/1209272476452163584/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 396, 'h': 300, 'resize': 'fit'}, 'large': {'w': 396, 'h': 300, 'resize': 'fit'}, 'small': {'w': 396, 'h': 300, 'resize': 'fit'}}}]}",1209272476452163584,"GOOG, GOOGL","#China’s #Huawei to create alternative to #Google services in #India by year’s end

https://t.co/VvC5lVETks https://t.co/gR5AZjGSmd","RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.",64643056,,RT,RT_com,http://t.co/bDDyvy9DmR,
2019-12-20 14:23:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jTh6NiUp4e', 'expanded_url': 'https://twitter.com/i/web/status/1208030041759723520', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1208030041759723520,"GOOG, GOOGL","Have you ever wished there was a way to see what your visitors prefer to see on your website? 🧐 If yes, you need to… https://t.co/jTh6NiUp4e",Be a digital marketing rock star with SEMrush! Follow us for the best industry updates & tips and connect with top influencers via our weekly #SEMrushchat,21896072,"Boston, MA",SEMrush,semrush,https://t.co/JjZxAQAL1F,
2019-12-21 18:09:44,"{'hashtags': [{'text': 'Google', 'indices': [82, 89]}, {'text': 'Chrome', 'indices': [90, 97]}], 'symbols': [], 'user_mentions': [{'screen_name': '21WIRE', 'name': 'Patrick Henningsen', 'id': 16936686, 'id_str': '16936686', 'indices': [25, 32]}], 'urls': [{'url': 'https://t.co/S5qyZ4wQ5j', 'expanded_url': 'https://twitter.com/i/web/status/1208449486529400837', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1208449486529400837,"GOOG, GOOGL","In 2019, over a thousand @21WIRE readers and listeners made the decision to ditch #Google #Chrome and start surfing… https://t.co/S5qyZ4wQ5j","Independent global affairs analyst, journalist, radio host, TV broadcaster, and fierce critic of mainstream media propaganda. https://t.co/BuMzdr7JNy",16936686,USA,Patrick Henningsen,21WIRE,https://t.co/d5hUBp5d8M,
2019-12-23 16:20:01,"{'hashtags': [{'text': 'technology', 'indices': [98, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O56jnOVxt1', 'expanded_url': 'https://andauth.co/l3JBkq', 'display_url': 'andauth.co/l3JBkq', 'indices': [73, 96]}, {'url': 'https://t.co/gSr6n1yXwQ', 'expanded_url': 'https://twitter.com/i/web/status/1209146652646420480', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",1209146652646420480,"GOOG, GOOGL","Google’s Recorder app is like magic, but here’s how it works.
Read more: https://t.co/O56jnOVxt1

#technology… https://t.co/gSr6n1yXwQ",https://t.co/V0a08spYa4 - Your source for all things Android!,95438524,,Android Authority,AndroidAuth,https://t.co/zuzeGMgjgP,
2019-12-23 14:28:00,"{'hashtags': [{'text': 'Google', 'indices': [14, 21]}, {'text': 'BERT', 'indices': [26, 31]}, {'text': 'GSC', 'indices': [108, 112]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4XqnzP7C6p', 'expanded_url': 'https://twitter.com/i/web/status/1209118463396139010', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1209118463396139010,"GOOG, GOOGL","What's new in #Google?

🆕 #BERT expanded into 70 languages
🆕 Google updated Search Quality Guidelines
🆕 New #GSC me… https://t.co/4XqnzP7C6p",Be a digital marketing rock star with SEMrush! Follow us for the best industry updates & tips and connect with top influencers via our weekly #SEMrushchat,21896072,"Boston, MA",SEMrush,semrush,https://t.co/JjZxAQAL1F,
2019-12-20 12:32:01,"{'hashtags': [{'text': 'Huawei', 'indices': [73, 80]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eAKIYdKtV0', 'expanded_url': 'https://twitter.com/i/web/status/1208002110404616193', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1208002110404616193,"GOOG, GOOGL","""The US digital giants are already storing the kind of data that we fear #Huawei may collect in the future. Further… https://t.co/eAKIYdKtV0","Directeur général @GLthinktank. Chroniqueur @lopinion_fr, polémiste @RTLFrance, exilé Brexit. Ex @Bloomberg @ODDO_BHF @Paris_Dauphine @ESCPeurope @CityUniLondon",361303331,"Paris, London, Munich, Bormes",Maxime Sbaihi,MxSba,https://t.co/QJhIJFMvLT,
